1,1,АЗЕРБАЙДЖАН
2,2,АРМЕНИЯ
3,3,БЕЛАРУСЬ
4,4,КАЗАХСТАН
5,5,КЫРГЫЗСТАН
6,6,МОЛДОВА
7,7,РОССИЯ
8,8,ТАДЖИКИСТАН
9,9,ТУРКМЕНИСТАН
10,10,УЗБЕКИСТАН
11,11,УКРАИНА
12,12,АФГАНИСТАН
13,13,АВСТРАЛИЯ
14,14,АВСТРИЯ
15,15,АЛБАНИЯ
16,16,АНГИЛЬЯ
17,17,АНГОЛА
18,18,АРГЕНТИНА
19,19,АФГАНИСТАН
20,20,БАГАМСКИЕ ОСТРОВА
21,21,БАНГЛАДЕШ
22,22,БАРБАДОС
23,23,БАХРЕЙН
24,24,БЕЛИЗ
25,25,БЕЛЬГИЯ
26,26,БЕНИН
27,27,БЕРМУДСКИЕ ОСТРОВА
28,28,БОЛГАРИЯ
29,29,БОЛИВИЯ
30,30,"БОСНИЯ,ГЕРЦЕГОВИНА"
31,31,БРАЗИЛИЯ
32,32,БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНД.ОКЕАНЕ
33,33,БРИТАНСКИЕ ВИРГИНСКИЕ ОСТРОВА
34,34,БРУНЕЙ-ДАРУССАЛАМ
35,35,ВЕЛИКОБРИТАНИЯ
36,36,ВЕНГРИЯ
37,37,ВЕНЕСУЗЛА
38,38,ВИРГИНСКИЕ О-ВА
39,39,ВОСТОЧНЫЙ ТИМОР
40,40,ВЬЕТНАМ
41,41,ГАИТИ
42,42,ГАЙАНА
43,43,ГАМБИЯ
44,44,ГАНА
45,45,ГВАТЕМАЛА
46,46,ГВИАНА
47,47,ГВИНЕЯ
48,48,ГВИНЕЯ-БИСАУ
49,49,ГЕРМАНИЯ
50,50,ГОНДУРАС
51,51,ГОНКОНГ
52,52,ГРЕНАДА
53,53,ГРЕНЛАНДИЯ
54,54,ГРЕЦИЯ
55,55,ГРУЗИЯ
56,56,ГУАМ
57,57,ДАНИЯ
58,58,ДОМИНИКА
59,59,ДОМИНИКАНСКАЯ РЕСПУБЛИКА
60,60,ЕВРОПЕЙСКОЕ СООБЩЕСТВО (ЕС)
61,61,ЕГИПЕТ
62,62,ЗАМБИЯ
63,63,ЗИМБАБВЕ
64,64,ИЗРАИЛЬ
65,65,ИНДИЯ
66,66,ИНДОНЕЗИЯ
67,67,ИОРДАНИЯ
68,68,ИРАК
69,69,ИРАН
70,70,ИРЛАНДИЯ
71,71,ИСЛАНДИЯ
72,72,ИСПАНИЯ
73,73,ИТАЛИЯ
74,74,ЙЕМЕН
75,75,КАМБОДЖА
76,76,КАНАДА
77,77,КАТАР
78,78,КЕНИЯ
79,79,КИПР
80,80,КИТАЙ
81,81,КНДР
82,82,КОЛУМБИЯ
83,83,КОНГО
84,84,КОРЕЯ
85,85,КОСТА-РИКА
86,86,КОТ-Д-ИВУАР
87,87,КУБА
88,88,КУВЕЙТ
89,89,ЛАОС
90,90,ЛАТВИЯ
91,91,ЛИВАН
92,92,ЛИВИЯ
93,93,ЛИТВА
94,94,ЛИХТЕНШТЕЙН
95,95,ЛЮКСЕМБУРГ
96,96,МАВРИКИЙ
97,97,МАДАГАСКАР
98,98,МАКЕДОНИЯ
99,99,МАЛАВИ
100,100,МАЛАЙЗИЯ
101,101,МАЛИ
102,102,МАЛЬДИВЫ
103,103,МАЛЬТА
104,104,МАРОККО
105,105,МАРТИНИКА
106,106,МЕКСИКА
107,107,МОЗАМБИК
108,108,МОНАКО
109,109,МОНГОЛИЯ
110,110,МОНТСЕРРАТ
111,111,МЬЯНМА
112,112,НЕПАЛ
113,113,НИГЕР
114,114,НИГЕРИЯ
115,115,НИДЕРЛАНДЫ
116,116,НИДЕРЛАНСКИЕ АНТИЛЬСКИЕ О-ВА
117,117,НИКАРАГУА
118,118,НОВАЯ ЗЕЛАНДИЯ
119,119,НОРВЕГИЯ
120,120,НОРМАНДСКИЕ ОСТРОВА
121,121,ОБЪЕД.АРАБ.ЭМИРАТЫ
122,122,ОМАН
123,123,ПАКИСТАН
124,124,ПАНАМА
125,125,ПЕРУ
126,126,ПОЛЬША
127,127,ПОРТУГАЛИЯ
128,128,ПУЭРТО-РИКО
129,129,РУАНДА
130,130,РУМЫНИЯ
131,131,САЛЬВАДОР
132,132,САУДОВСКАЯ АРАВИЯ
133,133,СВАЗИЛЕНД
134,134,СЕЙШЕЛЬСКИЕ О-ВО
135,135,СЕНЕГАЛ
136,136,СЕНТ-КИТТС И НЕВИС
137,137,СЕРБИЯ
138,138,СИНГАПУР
139,139,СИРИЯ
140,140,СЛОВАКИЯ
141,141,СЛОВЕНИЯ
142,142,СОЕДИНЕННЫЕ ШТАТЫ
143,143,СОМАЛИ
144,144,СТРАНА НЕИЗВЕСТНА
145,145,СУДАН
146,146,СУРИНАМ
147,147,СЬЕРА-ЛЕОНЕ
148,148,ТАИЛАНД
149,149,ТАЙВАНЬ
150,150,ТАНЗАНИЯ
151,151,ТРИНИДАД И ТОБАГО
152,152,ТУНИС
153,153,ТУРЦИЯ
154,154,УГАНДА
155,155,УРУГВАЙ
156,156,ФАРЕРСКИЕ ОСТРОВА
157,157,ФИЛИПИНЫ
158,158,ФИНЛЯНДИЯ
159,159,ФРАНЦИЯ
160,160,ХОРВАТИЯ
161,161,ЦЕНТРАЛЬНО-АФРИКАНСКАЯ РЕСПУБЛИКА
162,162,ЧЕРНОГОРИЯ
163,163,ЧЕШСКАЯ РЕСПУБЛИКА
164,164,ЧИЛИ
165,165,ШВЕЙЦАРИЯ
166,166,ШВЕЦИЯ
167,167,ШРИ ЛАНКА
168,168,ЭКВАДОР
169,169,ЭКВАТОРИАЛЬНАЯ ГВИНЕЯ
170,170,ЭРИТРЕЯ
171,171,ЭСТОНИЯ
172,172,ЭФИОПИЯ
173,173,ЮЖНО-АФРИКАНСКАЯ РЕСПУБЛИКА
174,174,ЯМАЙКА
175,175,ЯПОНИЯ
